timestamp,ecg_value,bpm,label,hrv,ecg_mean,ecg_std,bpm_range,signal_energy
0,-0.4006,82.98,awake,23.81,-0.3868,0.0549,6.06,7.633
1,-1.0512,78.22,light,34.14,-1.0567,0.0493,8.82,55.9487
2,-0.3435,84.64,awake,10.11,-0.3543,0.0556,8.84,6.4323
3,0.4583,61.89,deep,52.41,0.4554,0.0463,6.79,10.4754
4,0.0374,60.5,deep,49.33,0.0511,0.0531,7.13,0.2714
5,1.2042,77.75,light,32.73,1.2106,0.0452,7.32,73.3781
6,-0.5371,84.92,awake,13.42,-0.5296,0.0447,4.81,14.1217
7,1.0989,77.6,light,45.98,1.1011,0.0467,6.09,60.7298
8,1.0273,90.91,awake,26.23,1.0233,0.0426,9.5,52.4441
9,0.1811,84.16,awake,23.62,0.1864,0.046,5.47,1.8429
10,-0.1055,77.05,light,44.09,-0.1022,0.052,9.93,0.6576
11,0.6825,85.86,awake,22.37,0.6815,0.0475,8.56,23.3359
12,0.905,74.66,awake,10.69,0.8962,0.0449,7.03,40.2612
13,0.2818,96.0,awake,19.56,0.2823,0.0477,5.11,4.0978
14,0.4086,74.04,light,28.35,0.4017,0.0445,5.68,8.168
15,0.4639,88.99,awake,24.67,0.4557,0.0396,7.59,10.4625
16,1.3998,88.88,awake,25.18,1.404,0.0596,5.16,98.7322
17,0.0961,73.83,light,32.5,0.0795,0.0517,8.9,0.4498
18,-0.262,60.1,deep,56.06,-0.2674,0.0483,4.96,3.6914
19,-0.3547,78.86,light,32.51,-0.3494,0.0461,6.79,6.2091
20,-0.2212,61.38,deep,62.95,-0.2284,0.0495,9.52,2.7311
21,0.0196,89.28,awake,24.93,0.0127,0.0424,4.21,0.098
22,-0.1213,59.88,deep,54.33,-0.1004,0.0527,4.35,0.6429
23,0.2754,83.06,awake,15.54,0.2796,0.0504,8.85,4.0345
24,0.8884,56.97,deep,51.49,0.8785,0.0528,4.5,38.7273
25,-0.2767,62.14,deep,67.71,-0.2804,0.0458,5.83,4.0366
26,-0.8909,57.31,deep,39.76,-0.8948,0.0458,3.8,40.1419
27,0.2971,57.43,deep,66.74,0.2991,0.0499,8.61,4.5991
28,0.4394,79.77,light,38.26,0.4373,0.0578,9.23,9.7267
29,0.0083,57.15,deep,66.74,0.0128,0.0481,8.03,0.124
30,-0.2203,60.47,deep,53.87,-0.2156,0.0499,5.22,2.449
31,-0.9022,63.26,deep,53.64,-0.8919,0.0529,4.78,39.9179
32,0.4322,74.11,light,32.26,0.4369,0.046,8.33,9.6496
33,0.2074,58.59,deep,47.05,0.2144,0.0573,6.32,2.4617
34,0.2151,60.84,deep,59.48,0.224,0.0535,5.04,2.6527
35,1.6424,89.39,awake,20.16,1.6417,0.0476,7.59,134.8673
36,0.2255,58.5,deep,57.55,0.2143,0.0505,3.56,2.4241
37,-0.1279,61.19,deep,52.82,-0.127,0.0498,9.89,0.9302
38,-0.8638,75.73,light,36.43,-0.8576,0.052,4.9,36.9051
39,0.2588,89.92,awake,18.37,0.2536,0.0526,4.97,3.3526
40,0.975,81.07,light,27.63,0.9894,0.0474,4.44,49.0588
41,-0.0599,58.19,deep,45.63,-0.0587,0.0512,5.79,0.3034
42,0.3909,60.43,deep,61.49,0.3917,0.0458,5.17,7.7765
43,-0.6416,75.94,light,31.54,-0.6335,0.0584,8.9,20.2356
44,0.3059,60.73,deep,52.89,0.3148,0.0589,7.21,5.1274
45,-0.0188,61.06,deep,53.47,-0.0168,0.0422,4.37,0.1031
46,0.7793,77.65,light,31.73,0.7774,0.0525,8.23,30.3559
47,0.1631,78.59,light,30.43,0.1619,0.0476,7.83,1.4243
48,0.5164,72.19,light,50.88,0.5121,0.0489,9.01,13.2313
49,0.9171,80.81,awake,12.36,0.9116,0.0476,9.08,41.6671
50,0.0524,90.07,awake,24.77,0.0516,0.0541,7.41,0.2794
51,0.1536,60.72,deep,50.9,0.1496,0.0395,9.69,1.1967
52,-0.0756,85.99,awake,18.55,-0.0801,0.0438,3.53,0.4166
53,-0.87,58.76,deep,55.17,-0.8687,0.0545,6.93,37.883
54,0.2501,81.43,awake,26.5,0.2599,0.0403,3.8,3.4575
55,-0.5205,81.48,awake,15.57,-0.5245,0.0473,8.26,13.8666
56,-0.833,71.61,light,42.41,-0.8382,0.0455,4.0,35.2295
57,-1.1306,84.12,awake,22.93,-1.1388,0.0445,7.9,64.9465
58,1.224,60.75,deep,54.11,1.2219,0.0424,6.59,74.7391
59,-0.1395,73.52,light,37.32,-0.1331,0.0508,7.76,1.0146
60,1.528,80.85,awake,14.38,1.5312,0.0542,9.24,117.3712
61,0.1855,83.78,awake,21.19,0.1814,0.0451,6.31,1.7476
62,0.6028,75.91,light,36.76,0.6048,0.0444,7.95,18.3859
63,0.3348,60.25,deep,52.57,0.3413,0.0564,7.96,5.9821
64,0.2312,57.91,deep,54.72,0.2312,0.042,4.52,2.7599
65,0.8445,56.96,deep,48.74,0.8441,0.0478,3.5,35.7401
66,0.6679,81.84,awake,23.07,0.6659,0.0475,7.43,22.2822
67,0.5196,81.88,awake,20.72,0.521,0.0481,9.42,13.6893
68,-0.8315,59.92,deep,58.55,-0.83,0.0584,3.85,34.6193
69,-0.4072,77.65,light,33.36,-0.4125,0.0483,9.46,8.6241
70,-0.6011,68.07,light,26.97,-0.6012,0.0435,4.64,18.1687
71,0.4978,73.11,light,38.19,0.4984,0.0543,7.13,12.5679
72,0.3847,87.38,awake,27.7,0.3863,0.0527,8.29,7.5982
73,0.8124,82.49,awake,12.06,0.8117,0.0554,4.82,33.0927
74,-0.2765,61.29,deep,51.07,-0.2863,0.0511,3.65,4.2288
75,-0.1797,60.58,deep,57.17,-0.1921,0.0515,4.61,1.9779
76,0.8391,88.82,awake,21.38,0.8416,0.0619,9.95,35.6052
77,-0.162,74.21,light,27.14,-0.1669,0.0549,9.09,1.5435
78,0.7757,58.12,deep,41.92,0.775,0.0428,6.15,30.1232
79,-0.0326,54.9,deep,57.85,-0.037,0.0476,6.12,0.1816
80,0.5024,73.41,light,29.47,0.4879,0.056,4.88,12.0572
81,-0.3324,83.71,awake,24.85,-0.3452,0.0464,8.76,6.0647
82,0.8204,81.18,light,38.78,0.825,0.0488,7.04,34.1465
83,-0.3347,59.86,deep,68.32,-0.3258,0.0426,8.61,5.3966
84,0.6592,60.65,deep,50.74,0.668,0.0475,6.29,22.4259
85,0.3133,62.02,deep,55.57,0.3114,0.052,4.4,4.9828
86,0.0874,58.62,deep,54.72,0.0757,0.0555,9.69,0.4402
87,0.3152,75.92,light,32.84,0.3226,0.0492,8.69,5.3243
88,0.0453,55.89,deep,66.01,0.0435,0.0446,5.24,0.1937
89,1.3333,87.98,awake,13.3,1.3345,0.0473,4.44,89.1524
90,0.806,72.83,light,30.03,0.805,0.0515,7.75,32.5324
91,0.3069,59.35,deep,62.95,0.3113,0.0559,4.73,5.001
92,-0.3278,80.79,light,35.38,-0.3004,0.0472,9.68,4.6243
93,-0.2231,77.61,light,16.03,-0.2159,0.0603,6.35,2.5122
94,-0.5437,85.35,awake,22.64,-0.5524,0.0501,5.74,15.3823
95,0.1954,80.78,awake,22.41,0.1989,0.0532,4.65,2.1201
96,0.4379,71.16,light,28.41,0.4313,0.0463,3.99,9.4084
97,0.2669,62.11,deep,57.78,0.2694,0.0425,3.22,3.719
98,-1.2444,79.63,light,24.15,-1.2348,0.0506,6.73,76.3689
99,-0.9209,74.05,light,40.27,-0.9197,0.0476,3.51,42.406
100,-0.0317,79.69,awake,22.48,-0.0311,0.0439,5.57,0.1449
101,0.22,75.81,light,29.97,0.2203,0.0434,7.26,2.5204
102,0.651,62.34,deep,51.25,0.6495,0.0507,4.16,21.2239
103,-0.1907,71.66,light,35.99,-0.1844,0.0443,7.96,1.798
104,-1.1792,79.41,awake,17.3,-1.1753,0.047,7.61,69.1797
105,-0.5794,90.49,awake,19.48,-0.5825,0.0456,6.48,17.0707
106,-0.0729,62.78,deep,45.2,-0.0807,0.0523,3.45,0.4624
107,0.0803,61.44,deep,51.06,0.0806,0.0521,5.75,0.46
108,-0.5045,89.89,awake,17.98,-0.5093,0.0513,9.83,13.1016
109,-0.6126,64.17,deep,60.91,-0.6011,0.0435,6.37,18.158
110,-0.2195,83.23,awake,18.06,-0.2256,0.0513,8.71,2.6762
111,-0.2758,75.08,light,36.25,-0.2811,0.0547,8.58,4.1001
112,-0.8633,80.76,awake,22.01,-0.8656,0.0522,8.32,37.5986
113,0.1357,75.85,light,35.82,0.1403,0.0534,3.73,1.1265
114,0.0837,76.62,light,30.97,0.0875,0.0512,7.44,0.5134
115,-0.3555,61.7,deep,54.82,-0.3485,0.0472,3.17,6.1832
116,1.281,76.41,light,39.24,1.2783,0.0494,4.21,81.8229
117,-0.1758,60.43,deep,63.65,-0.1746,0.0494,7.97,1.6466
118,-0.1838,84.47,awake,14.3,-0.178,0.0495,7.99,1.7062
119,1.6103,89.63,awake,21.17,1.612,0.0593,6.95,130.1002
120,0.1008,74.64,light,44.72,0.1076,0.0445,3.99,0.6782
121,-0.1304,59.78,deep,52.34,-0.132,0.0349,7.03,0.9324
122,0.3516,78.51,light,49.04,0.357,0.0608,3.45,6.5571
123,-0.3084,77.86,light,35.72,-0.3149,0.0425,9.8,5.0491
124,-0.2233,59.21,deep,51.18,-0.2358,0.0503,7.58,2.9072
125,1.2205,84.21,awake,16.56,1.2165,0.055,8.74,74.1442
126,0.8021,85.64,awake,17.34,0.7967,0.051,6.57,31.8673
127,-1.0726,84.35,awake,17.11,-1.0783,0.0537,9.22,58.2802
128,1.0136,61.54,deep,55.39,1.0116,0.0533,6.99,51.3095
129,-0.5308,58.55,deep,54.54,-0.5289,0.0491,9.47,14.108
130,-0.1458,86.13,awake,22.7,-0.1421,0.0523,9.59,1.1468
131,0.0912,72.88,light,38.74,0.0949,0.0477,5.83,0.5644
132,1.0353,85.51,awake,20.61,1.0427,0.0418,8.34,54.4455
133,0.2035,60.24,deep,49.86,0.216,0.0508,9.8,2.4624
134,-0.0281,59.69,deep,40.82,-0.0304,0.0463,4.11,0.1534
135,0.5592,71.99,light,36.38,0.549,0.0534,3.78,15.2114
136,-0.8641,84.48,awake,20.74,-0.8739,0.051,9.89,38.3186
137,1.1515,82.5,awake,14.24,1.1534,0.0458,8.86,66.6161
138,-0.8465,59.93,deep,61.32,-0.8473,0.0442,5.42,35.9946
139,-0.5313,88.63,awake,23.63,-0.5288,0.0475,4.77,14.0968
140,0.1764,59.28,deep,57.87,0.1781,0.0534,8.37,1.728
141,-0.536,73.44,light,37.85,-0.5385,0.0583,6.05,14.6669
142,0.878,73.62,light,27.46,0.8704,0.0488,8.18,37.9949
143,0.2827,73.81,light,38.25,0.2749,0.048,5.78,3.8922
144,1.5946,77.75,awake,14.43,1.5962,0.0504,5.73,127.5127
145,0.9142,72.96,light,33.05,0.9097,0.0519,6.61,41.513
146,-0.4304,61.37,deep,56.25,-0.4307,0.0478,9.84,9.3904
147,0.9932,84.19,awake,22.28,0.9986,0.0476,6.6,49.9713
148,0.6623,57.17,deep,57.14,0.6595,0.042,9.57,21.8368
149,-0.1544,82.29,awake,16.73,-0.1451,0.0494,8.55,1.1746
150,-0.3968,87.87,awake,17.79,-0.4027,0.0527,9.4,8.2471
151,-0.8217,85.69,awake,11.82,-0.8326,0.0496,5.18,34.7859
152,0.18,59.0,deep,47.72,0.1824,0.0549,5.29,1.814
153,1.3143,83.34,awake,14.41,1.3266,0.0453,9.03,88.0912
154,0.0147,57.89,deep,40.47,0.0053,0.0517,9.75,0.1349
155,0.217,75.17,light,32.37,0.2163,0.0475,5.88,2.4525
156,-0.0978,90.82,awake,17.46,-0.0973,0.0463,3.76,0.5806
157,-0.2562,59.46,deep,44.75,-0.2622,0.0435,5.67,3.5328
158,-0.1764,73.74,light,28.08,-0.1751,0.0433,5.98,1.6263
159,0.3476,84.26,awake,12.2,0.3566,0.046,5.1,6.4647
160,-0.31,73.35,light,39.04,-0.3075,0.0516,4.79,4.8624
161,0.6736,78.83,awake,20.59,0.6712,0.0481,4.78,22.6439
162,0.12,58.84,deep,55.36,0.1184,0.0417,8.54,0.7874
163,0.4137,84.25,awake,24.28,0.4185,0.045,5.73,8.8585
164,1.0896,60.0,deep,59.84,1.0805,0.0457,5.39,58.4766
165,-0.4154,57.28,deep,40.54,-0.4086,0.0517,3.34,8.4804
166,0.146,77.54,light,25.36,0.1317,0.0563,3.16,1.0259
